place,year,mass_g,longitude,latitude,fell_found,Include
A-881906,1988,202.53,26,-72,Found,0
RaS 231,2003,202.53,55.92178,20.55407,Found,0
QUE 93056,1993,202.4,162.0759,-84.57573,Found,0
GRO 95558,1995,202.4,175,-85.66667,Found,0
GRO 95559,1995,202.2,175,-85.66667,Found,0
RaS 207,2003,202.01,56.08783,20.6322,Found,0
EET 90468,1990,202,156.41114,-76.26931,Found,0
Acfer 251,1991,202,3.88056,27.50972,Found,0
Wildcat Peak,1998,202,-111.7255,32.56533,Found,0
DaG 971,1999,202,16.62617,26.89367,Found,0
JaH 018,2000,202,55.24333,19.29167,Found,0
DaG 792,2000,202,16.465,26.91383,Found,0
GRO 95554,1995,201.9,175,-85.66667,Found,0
ALH 84090,1984,201.8,158.22142,-76.82607,Found,0
LEW 87043,1987,201.8,161.08333,-84.28333,Found,0
A-881999,1988,201.75,26,-72,Found,0
Y-81026,1981,201.67,35.66667,-71.5,Found,0
FRO 99031,1999,201.6,160.5675,-72.9625,Found,0
MET 00422,2000,201.5,155.75,-79.68333,Found,0
Y-74036,1974,201.4,36.19306,-71.815,Found,0
A-881023,1988,201.32,26,-72,Found,0
EET 87583,1987,201.3,156.38781,-76.05861,Found,0
JaH 594,2009,201.3,56.69635,19.41842,Found,0
Shalim 011,2009,201.2,55.59347,18.90015,Found,0
ALH 84104,1984,201.1,156.97919,-77.01648,Found,0
MAC 88124,1988,201.1,160.5,-84.21667,Found,0
PCA 91106,1991,201.1,-67.77657,-85.68523,Found,0
SaU 288,2004,201.1,57.13517,20.5274,Found,0
A-881710,1988,201.05,26,-72,Found,0
A-880997,1988,201.02,26,-72,Found,0
Lake Frome 002,1992,201,140.15142,-30.71061,Found,0
SaU 032,2000,201,57.27683,21.054,Found,0
Dho 112,2000,201,54.10467,18.178,Found,0
MET 01045,2001,201,159.75,-79.68333,Found,0
GRA 98020,1998,200.9,-141.5,-86.71667,Found,0
GRO 95546,1995,200.8,175,-85.66667,Found,0
ALH 85031,1985,200.6,156.5252,-76.89914,Found,0
RaS 002,2003,200.51,56.45165,20.24332,Found,0
MAC 88129,1988,200.5,160.5,-84.21667,Found,0
Pine Dam,1976,200.4,138,-30.41667,Found,0
QUE 99086,1999,200.4,168,-84,Found,0
ALHA78074,1978,200.2,159.66667,-76.71667,Found,0
GRV 024060,2003,200.2,75.246389,-72.981944,Found,0
QUE 90227,1990,200.1,162.28531,-84.59617,Found,0
Mikomotojima,1874,200,138.95,34.56667,Found,0
Wingellina,1958,200,128.95,-26.05,Found,0
New Moore (b),1975,200,-102.11333,33.11833,Found,0
Acfer 146,1990,200,4.08333,27.63333,Found,0
Acfer 088,1990,200,4.43333,27.75,Found,0
Lago Valscura,1995,200,7.20028,44.19167,Found,0
NWA 779,1999,200,-3.66667,31.83333,Found,0
DaG 689,1999,200,16.1,27.28333,Found,0
DaG 755,1999,200,15.884,27.85,Found,0
DaG 918,2000,200,16.08333,27.2,Found,0
Dho 147,2000,200,54.2355,18.43583,Found,0
SaU 092,2000,200,56.68283,21.17017,Found,0
Dho 313,2001,200,54.03167,18.45167,Found,0
Acfer 386,2004,200,3.7,27.36017,Found,0
BiZ 008,2008,200,10.18961,31.92644,Found,0
UAE 006,2009,200,55.10425,22.70047,Found,0
EETA79007,1979,199.9,157.22118,-76.2886,Found,0
Y-82038,1982,199.9,35.66667,-71.5,Found,0
GRV 021482,2003,199.9,75.30139,-72.93972,Found,0
Dho 1684,2011,199.9,54.14843,19.61972,Found,0
Y-791973,1979,199.87,35.66667,-71.5,Found,0
Y-791574,1979,199.73,35.66667,-71.5,Found,0
EET 96057,1996,199.7,157.16667,-76.18333,Found,0
ALHA77292,1977,199.6,159.66667,-76.71667,Found,0
JaH 336,2006,199.51,55.655383,19.90265,Found,0
LEW 85311,1985,199.5,161.46,-84.2698,Found,0
Dho 802,2001,199.43,54.54195,19.05233,Found,0
Y-790987,1979,199.21,35.66667,-71.5,Found,0
PRE 95403,1995,199.1,-165.11667,-86.56667,Found,0
GRO 95557,1995,199.1,175,-85.66667,Found,0
DaG 063,1995,199,16.32833,27.4055,Found,0
DaG 035,1995,199,16.17483,27.08683,Found,0
SCO 98201,1998,199,-148,-87.03333,Found,0
SJ 027,2008,199,-69.871167,-25.442667,Found,0
RaS 327,2009,199,56.47823,20.41363,Found,0
Oldman Mountain,2008,198.96,-114.2917,33.67248,Found,0
JaH 273,2005,198.95,56.0315,19.94863,Found,0
A-881236,1988,198.93,26,-72,Found,0
A-9004,1990,198.92,26,-72,Found,0
LEW 86083,1986,198.9,161.61096,-84.27889,Found,0
Dho 1446,2003,198.9,54.6524,19.4514,Found,0
A-881498,1988,198.78,26,-72,Found,0
MET 01041,2001,198.6,159.75,-79.68333,Found,0
MET 01048,2001,198.6,159.75,-79.68333,Found,0
ALHA78107,1978,198.4,159.66667,-76.71667,Found,0
JaH 679,2011,198.4,55.68198,19.66767,Found,0
SaU 194,2001,198.36,57.32825,21.03578,Found,0
EET 83396,1983,198.3,157.19611,-76.305,Found,0
A-881181,1988,198.3,26,-72,Found,0
QUE 99034,1999,198.3,168,-84,Found,0
Y-790531,1979,198.08,35.66667,-71.5,Found,0
Daraj 138,1986,198,11.78333,29.58333,Found,0
Acfer 293,1992,198,4.19056,27.66583,Found,0
DaG 365,1997,198,15.86817,27.841,Found,0
QUE 99081,1999,198,168,-84,Found,0
HaH 337,2001,198,12.12333,29.48333,Found,0
GRV 054472,2006,197.71,75.10028,-72.91611,Found,0
WIS 91618,1991,197.6,-124.29004,-86.15229,Found,0
Y-86751,1986,197.26,35.66667,-71.5,Found,0
GRV 053721,2006,197.06,75.27417,-72.78028,Found,0
HaH 154,1995,197,13.40033,28.617,Found,0
HaH 093,1995,197,13.38117,28.66467,Found,0
Dho 614,2001,197,54.78192,19.25775,Found,0
Dho 1085,2003,197,54.77718,19.3281,Found,0
LEW 86085,1986,196.9,161.61095,-84.27923,Found,0
MAC 87318,1987,196.9,160.5,-84.21667,Found,0
ALH 94001,1994,196.5,159.66667,-76.71667,Found,0
WIS 90303,1990,196.4,-125,-84.75,Found,0
QUE 94243,1994,196.4,168,-84,Found,0
MET 01026,2001,196.2,159.75,-79.68333,Found,0
ALHA81102,1981,196,159.39583,-76.69861,Found,0
RKP 86703,1986,196,158.63823,-76.24209,Found,0
HaH 130,1995,196,13.1945,28.46233,Found,0
DaG 675,1999,196,16.4,27,Found,0
DaG 817,2000,196,16.2795,27.41317,Found,0
Dho 426,2001,196,54.57485,18.70828,Found,0
Dho 855,2001,196,54.145,18.31167,Found,0
A-881637,1988,195.62,26,-72,Found,0
HaH 252,1997,195.56,12.66783,29.01517,Found,0
QUE 99451,1999,195.5,168,-84,Found,0
RaW 031,2006,195.35,58.39645,21.27327,Found,0
RKP 86702,1986,195.2,158.62928,-76.24615,Found,0
Y-791545,1979,195.17,35.66667,-71.5,Found,0
EET 96050,1996,195.1,157.16667,-76.18333,Found,0
Acfer 044,1989,195,4,27.55,Found,0
DaG 393,1997,195,16.26633,27.4355,Found,0
Aoufous,2000,195,-4.06667,31.66667,Found,0
Dho 764,2000,195,54.76645,18.83062,Found,0
Dho 1060,2000,195,54.53837,19.00248,Found,0
Dho 768,2000,195,54.61427,18.81928,Found,0
Kikino,1809,195,34,55,Fell,0
Y-791963,1979,194.68,35.66667,-71.5,Found,0
EET 90354,1990,194.6,156.41942,-76.26807,Found,0
ALHA78127,1978,194.5,159.66667,-76.71667,Found,0
ALHA81040,1981,194.5,159.26114,-76.68455,Found,0
ALH 84115,1984,194.5,157.09028,-77.04366,Found,0
PCA 91439,1991,194.5,-68.2347,-85.68217,Found,0
HaH 255,1998,194.5,13.08067,28.94967,Found,0
ALH 84024,1984,194.4,158.54311,-76.872,Found,0
AaU 001,2008,194.34,48.95937,22.72192,Found,0
Dho 1013,2003,194.05,54.01572,18.5552,Found,0
DaG 331,1997,194,16.0745,27.1095,Found,0
DaG 765,1999,194,16.566,26.94167,Found,0
Dho 1019,2001,194,54.37865,18.72603,Found,0
MET 01062,2001,194,159.75,-79.68333,Found,0
Dho 1584,2004,194,54.428,18.42083,Found,0
Dho 911,,194,54.77667,19.33167,Found,0
Okabe,1958,194,139.21667,36.18333,Fell,0
MET 00531,2000,193.91,155.75,-79.68333,Found,0
MET 96514,1996,193.9,159.75,-79.68333,Found,0
JaH 550,2008,193.9,55.17742,19.53697,Found,0
RaS 376,2010,193.77,55.96863,20.52525,Found,0
MET 00539,2000,193.65,155.75,-79.68333,Found,0
EET 87532,1987,193.5,157.24495,-76.2854,Found,0
A-881190,1988,193.35,26,-72,Found,0
Dho 179,2000,193.3,54.61639,18.92056,Found,0
Y-791716,1979,193.21,35.66667,-71.5,Found,0
SaU 280,2002,193.02,57.31252,21.0626,Found,0
DaG 137,1996,193,16.0325,27.10383,Found,0
DaG 235,1997,193,16.31833,27.18567,Found,0
DaG 405,1998,193,15.8675,27.93133,Found,0
NWA 6777,2002,193,-14,21.5,Found,0
TIL 06001,2007,193,-94.75,-85.167,Found,0
Caleta el Cobre 005,2010,193,-70.51667,-24.25,Found,0
Dho 1703,2010,193,54.81357,19.11453,Found,0
Y-791450,1979,192.86,35.66667,-71.5,Found,0
MAC 88107,1988,192.8,160.5,-84.21667,Found,0
JaH 287,2005,192.77,56.47643,19.78115,Found,0
A-881501,1988,192.02,26,-72,Found,0
Alexander County,1875,192,-81.25,35.75,Found,0
Acfer 022,1989,192,3.83333,27.51667,Found,0
DaG 046,1995,192,16.10617,27.15267,Found,0
DaG 435,1998,192,16.2455,27.22183,Found,0
NWA 033,1999,192,-3.96667,30.9,Found,0
Dho 083,1999,192,54.66783,19.2465,Found,0
NWA 6788,2000,192,-13.25,24.33333,Found,0
Dho 1308,2004,192,54.37463,18.72992,Found,0
Sleeper Camp 025,2005,192,126.40056,-30.17917,Found,0
ALHA79012,1979,191.9,159.66667,-76.71667,Found,0
EET 83218,1983,191.9,157.24028,-76.28195,Found,0
QUE 97057,1997,191.8,168,-84,Found,0
Dho 254,2001,191.8,54.28667,18.70317,Found,0
QUE 97050,1997,191.7,168,-84,Found,0
Virginia 001,1980,191.5,125.15,-32.06667,Found,0
Y-791578,1979,191.44,35.66667,-71.5,Found,0
Y-82066,1982,191.4,35.66667,-71.5,Found,0
FRO 95005,1995,191.3,160.44472,-72.99972,Found,0
ALHA80116,1980,191.2,159.28056,-76.77361,Found,0
LEW 85313,1985,191.2,161.35699,-84.28779,Found,0
ALH 84020,1984,191.1,158.53785,-76.86997,Found,0
SaU 299,2004,191.1,57.30132,21.06858,Found,0
ALHA81064,1981,191,159.38305,-76.69333,Found,0
DaG 302,1997,191,16.4625,26.97,Found,0
HaH 278,2000,191,12.86833,28.45667,Found,0
SaU 114,2001,191,57.255,21.04667,Found,0
LAP 02331,2002,190.88,-70,-86.36667,Found,0
A-880613,1988,190.86,26,-72,Found,0
A-881929,1988,190.85,26,-72,Found,0
ALHA77180,1977,190.8,159.66667,-76.71667,Found,0
Y-790272,1979,190.8,35.66667,-71.5,Found,0
Y-790116,1979,190.65,35.66667,-71.5,Found,0
ALHA78048,1978,190.6,159.66667,-76.71667,Found,0
ALHA81048,1981,190.6,158.76213,-76.72141,Found,0
SaU 134,2001,190.58,57.32064,21.03364,Found,0
River,1965,190.5,126.01667,-30.36667,Found,0
SaU 296,2004,190.5,57.17375,20.79367,Found,0
MET 00480,2000,190.49,155.75,-79.68333,Found,0
JaH 575,2009,190.4,56.28608,19.75988,Found,0
Y-791143,1979,190.39,35.66667,-71.5,Found,0
ALH 97102,1997,190.3,159.66667,-76.71667,Found,0
LEW 86025,1986,190.1,161.50315,-84.23783,Found,0
Tulia (iron),1969,190,-101.63,34.555,Found,0
Erldunda,1992,190,133.20006,-25.29647,Found,0
DaG 295,1997,190,16.31217,27.23,Found,0
HaH 198,1997,190,13.35017,28.55,Found,0
Dho 206,2000,190,54.135,18.23833,Found,0
SaU 106,2000,190,56.68833,20.54167,Found,0
Dho 763,2000,190,54.64972,18.86492,Found,0
Dho 845,2001,190,54.13,18.40833,Found,0
Dho 923,2002,190,54.66333,19.335,Found,0
DOM 85507,1985,189.9,166.5,-85.33333,Found,0
Y-82065,1982,189.86,35.66667,-71.5,Found,0
Y-790985,1979,189.64,35.66667,-71.5,Found,0
A-882091,1988,189.63,26,-72,Found,0
QUE 93059,1993,189.6,162.94855,-84.57613,Found,0
QUE 99608,1999,189.6,168,-84,Found,0
Y-790517,1979,189.58,35.66667,-71.5,Found,0
Y-791442,1979,189.53,35.66667,-71.5,Found,0
Matad,1958,189.5,114.75,47.6,Found,0
A-87309,1987,189.36,26,-72,Found,0
MET 01057,2001,189.3,159.75,-79.68333,Found,0
Ufana,1957,189.2,35.35,-4.26667,Fell,0
Y-75032,1975,189.1,35.66667,-71.5,Found,0
QUE 99031,1999,189.1,168,-84,Found,0
DaG 236,1997,189,16.36133,27.194,Found,0
DaG 387,1997,189,16.20133,27.33733,Found,0
DaG 320,1997,189,16.326,27.03383,Found,0
DaG 596,1998,189,16.2815,27.21367,Found,0
Dho 429,2001,189,54.50495,18.80872,Found,0
Dho 1431,2006,189,54.21806,18.58833,Found,0
PÌ©tÌ¬lkolÌ©,1995,189,0.42,14.052,Fell,0
Y-793421,1979,188.82,35.66667,-71.5,Found,0
SaU 420,2005,188.8,56.88685,20.92243,Found,0
Y-74603,1974,188.7,35.98611,-71.72778,Found,0
EET 83333,1983,188.6,157.28389,-76.30194,Found,0
MAC 02837,2002,188.6,160.5,-84.21667,Found,0
Dho 1686,2011,188.6,54.12582,19.55838,Found,0
EET 83366,1983,188.5,157.18333,-76.32306,Found,0
SaU 215,2003,188.38,56.56185,20.42422,Found,0
EET 96049,1996,188.3,157.16667,-76.18333,Found,0
ALHA81014,1981,188.2,159.35889,-76.71139,Found,0
PCA 91177,1991,188.1,-68.70539,-85.68183,Found,0
A-881668,1988,188.02,26,-72,Found,0
GRV 051619,2006,188.02,75.31222,-72.78111,Found,0
Y-790784,1979,188.01,35.66667,-71.5,Found,0
Acfer 191,1990,188,4.3,27.7,Found,0
Reid 022,1993,188,128.52617,-30.30283,Found,0
HaH 187,1996,188,13.23633,28.73883,Found,0
DaG 375,1997,188,15.8715,27.88683,Found,0
HaH 208,1997,188,13.4395,28.60867,Found,0
DaG 442,1998,188,16.31833,27.48083,Found,0
Dho 103,1999,188,54.4645,18.97917,Found,0
Dyarrl Island,1933,188,151,-3,Fell,0
EET 96053,1996,187.7,157.16667,-76.18333,Found,0
EET 99416,1999,187.7,157.16667,-76.18333,Found,0
CyDL 176,2003,187.55,-116.73005,35.05452,Found,0
SaU 213,2002,187.5,57.06578,20.41437,Found,0
GRV 021673,2003,187.38,75.33417,-72.77806,Found,0
A-87333,1987,187.2,26,-72,Found,0
QUE 90236,1990,187.1,162.31057,-84.59515,Found,0
Acfer 283,1991,187,4.22944,27.70056,Found,0
Matsitama,1999,187,26.4859,-21.0909,Found,0
DaG 724,1999,187,16.11667,27.25,Found,0
DaG 807,2000,187,16.445,27.057,Found,0
QUE 93057,1993,186.8,162.2344,-84.59856,Found,0
Hughes 056,1993,186.8,129.63333,-30.48333,Found,0
PCA 91070,1991,186.7,-68.9619,-85.69115,Found,0
MET 01068,2001,186.6,159.75,-79.68333,Found,0
MET 00510,2000,186.55,155.75,-79.68333,Found,0
TM 011,2003,186.52,-117.616667,39.683333,Found,0
PRE 95401,1995,186.5,-165.11667,-86.56667,Found,0
GRO 95627,1995,186.5,175,-85.66667,Found,0
JaH 363,2003,186.5,56.05173,19.56372,Found,0
JaH 434,2007,186.426,56.31647,19.75612,Found,0
PCA 91050,1991,186.3,-68.35222,-85.66054,Found,0
GRV 021509,2003,186.2,75.28,-72.95889,Found,0
SJ 005,2007,186.1,-69.8635,-25.445833,Found,0
Acfer 144,1990,186,4.28333,27.66667,Found,0
HaH 127,1995,186,12.8575,28.48433,Found,0
ALH 99504,1999,186,159.66667,-76.71667,Found,0
Dho 061,1999,186,54.875,19.17817,Found,0
Dho 510,2000,186,54.36167,18.91333,Found,0
Dho 522,2000,186,54.16833,18.24,Found,0
Dho 1128,2005,186,54.918417,19.194833,Found,0
El MÌ©dano 075,2011,186,-70.53333,-24.85,Found,0
Y-981031,1998,185.8,35.40194,-71.54694,Found,0
Y-74648,1974,185.5,35.66667,-71.5,Found,0
QUE 93063,1993,185.5,162.13155,-84.5736,Found,0
JaH 088,2002,185.4,56.26865,19.3571,Found,0
SaU 220,2002,185.36,57.21425,20.4853,Found,0
B-7903,1979,185.3,31.25,-72.58333,Found,0
Dho 243,2001,185.3,54.7285,18.62317,Found,0
Hautes Fagnes,1965,185,6.16667,50.58333,Found,0
Ilizi,1991,185,8.88333,26.75,Found,0
Acfer 309,1992,185,4.20444,27.64556,Found,0
EET 96058,1996,185,157.16667,-76.18333,Found,0
DaG 733,1999,185,16.35,27.25,Found,0
NWA 044,1999,185,-9.5,27.16667,Found,0
Dho 358,2000,185,54.7342,18.61157,Found,0
SaU 160,2000,185,56.7029,20.09,Found,0
Shiï¿½ï¿½r 009,2001,185,53.92667,18.56333,Found,0
Dho 924,2002,185,54.66833,19.16333,Found,0
JaH 705,2011,185,55.34193,19.25277,Found,0
DaG 569,1997,184.95,16.1275,27.29117,Found,0
EET 83363,1983,184.7,157.23028,-76.32833,Found,0
RaS 217,2003,184.6,55.90177,20.45792,Found,0
Angara,1885,184.5,94.23333,58.68333,Found,0
Dho 1679,2011,184.3,54.52335,19.37243,Found,0
LAP 02221,2002,184.2,-70,-86.36667,Found,0
WIS 91600,1991,184.1,-124.2156,-86.5379,Found,0
Y-791718,1979,184.01,35.66667,-71.5,Found,0
Acfer 034,1989,184,4.35,27.63333,Found,0
HaH 036,1990,184,12.3,28.83333,Found,0
HaH 102,1995,184,13.16,28.61467,Found,0
DaG 209,1996,184,16.05983,27.62417,Found,0
DaG 520,1997,184,16.2325,27.31033,Found,0
HaH 204,1997,184,13.19833,28.525,Found,0
DaG 449,1998,184,16.05367,27.42683,Found,0
DaG 686,1999,184,16.41667,27.01667,Found,0
Dho 015,2000,184,54.43,18.64333,Found,0
Dho 114,2000,184,54.2275,18.37933,Found,0
SaU 124,2001,184,57,21.00833,Found,0
Dho 1297,2001,184,54.77,19.14,Found,0
NWA 2269,2002,184,-7.95,27.96667,Found,0
Shalim 015,2011,184,55.089,18.974,Found,0
RaS 254,2005,183.97,56.3815,20.00553,Found,0
QUE 93054,1993,183.9,162.01677,-84.57837,Found,0
ALHA81104,1981,183.8,158.74679,-76.71601,Found,0
QUE 94386,1994,183.8,168,-84,Found,0
GRV 051620,2006,183.73,75.3091,-72.78061,Found,0
EET 83252,1983,183.7,157.265,-76.31889,Found,0
QUE 97047,1997,183.7,168,-84,Found,0
GRV 021475,2003,183.7,75.275,-72.94306,Found,0
NWA 6785,2003,183.4,-12.91667,24.16667,Found,0
Dho 1028,2003,183.1,54.23873,18.65695,Found,0
SaU 247,2002,183.08,57.18483,20.57965,Found,0
Acfer 076,1990,183,4.35,27.7,Found,0
DaG 713,1999,183,16.38333,26.96667,Found,0
DaG 916,2000,183,16.13333,27.25,Found,0
Dho 576,2001,183,54.41197,18.67985,Found,0
Dho 600,2001,183,54.6836,18.6912,Found,0
NWA 6804,2003,183,-6.66667,29.75,Found,0
PCA 91063,1991,182.8,-69.05946,-85.67694,Found,0
Y-793243,1979,182.7,35.66667,-71.5,Found,0
DaG 592,1998,182.7,16.0285,27.63367,Found,0
SaU 509,2009,182.7,56.77957,21.01217,Found,0
RaS 370,2010,182.42,55.82513,20.50627,Found,0
Y-791606,1979,182.4,35.66667,-71.5,Found,0
QUE 97840,1997,182.4,168,-84,Found,0
LEW 97206,1997,182.4,161.5,-84.26667,Found,0
SaU 403,2003,182.4,56.6753,20.52808,Found,0
RKPA79003,1979,182.2,158.43325,-76.21391,Found,0
QUE 97036,1997,182.2,168,-84,Found,0
GRA 98036,1998,182.2,-141.5,-86.71667,Found,0
A-881809,1988,182.13,26,-72,Found,0
A-881057,1988,182.01,26,-72,Found,0
Daraj 117,1986,182,11.75,29.61667,Found,0
GRO 95552,1995,182,175,-85.66667,Found,0
DaG 122,1996,182,16.03583,27.1075,Found,0
DaG 210,1996,182,16.06233,27.62433,Found,0
Dho 1069,2000,182,54.752,18.95067,Found,0
HaH 264,2000,182,12.88517,28.582,Found,0
Dho 593,2001,182,54.21205,18.7386,Found,0
Dho 861,2001,182,54.51167,19.03167,Found,0
Dho 430,2001,182,54.639,18.90343,Found,0
Dho 844,2001,182,54.16,18.39167,Found,0
Dho 710,2001,182,54.00667,18.46,Found,0
Shiï¿½ï¿½r 046,2005,182,53.9505,18.54864,Found,0
JaH 784,,182,56.42083,19.84333,Found,0
QUE 90232,1990,181.9,162.58633,-84.58059,Found,0
A-881103,1988,181.88,26,-72,Found,0
DaG 1018,1999,181.88,16.08694,27.63167,Found,0
A-881143,1988,181.78,26,-72,Found,0
A-881194,1988,181.64,26,-72,Found,0
LEW 87041,1987,181.6,161.71794,-84.27265,Found,0
EET 87512,1987,181.6,157.16667,-76.18333,Found,0
QUE 99193,1999,181.6,168,-84,Found,0
JaH 301,2005,181.59,56.44628,19.81995,Found,0
LEW 86360,1986,181.5,161.68815,-84.27398,Found,0
ALHA77307,1977,181.3,159.66667,-76.71667,Found,0
SaU 217,2003,181.26,56.58717,20.43342,Found,0
A-87250,1987,181.2,26,-72,Found,0
LAP 02372,2002,181.13,-70,-86.36667,Found,0
DaG 480,1998,181,16.1735,27.3685,Found,0
DaG 434,1998,181,16.408,27.24083,Found,0
Dho 551,2001,181,54.35902,18.71728,Found,0
SJ 019,2008,181,-69.874,-25.4425,Found,0
A-882098,1988,180.9,26,-72,Found,0
MET 00509,2000,180.89,155.75,-79.68333,Found,0
EET 83234,1983,180.6,157.24083,-76.28333,Found,0
SaU 430,2001,180.6,57.29588,21.07652,Found,0
Y-791975,1979,180.58,35.66667,-71.5,Found,0
EET 99402,1999,180.5,157.16667,-76.18333,Found,0
JaH 478,2007,180.5,56.4884,19.79833,Found,0
GRV 050042,2006,180.49,75.21833,-72.99667,Found,0
MAC 88123,1988,180.3,160.5,-84.21667,Found,0
GRO 95549,1995,180.3,175,-85.66667,Found,0
ALHA77012,1977,180.2,159.66667,-76.71667,Found,0
MET 01014,2001,180.1,159.75,-79.68333,Found,0
LAP 02335,2002,180.1,-70,-86.36667,Found,0
A-881753,1988,180.08,26,-72,Found,0
Acfer 328,2001,180.07,4.21667,27.73333,Found,0
Tnz 016,1991,180,0.52528,25.40361,Found,0
PCA 91066,1991,180,-68.95795,-85.69199,Found,0
Acfer 299,1992,180,4.42028,27.6825,Found,0
DaG 604,1998,180,16.31083,26.979,Found,0
Tnz 069,2002,180,0.1,25.28333,Found,0
Plancy-l'Abbaye,2003,180,-4.05,48.66667,Found,0
El MÌ©dano 056,2011,180,-70.53333,-24.85,Found,0
Sevilla,1862,180,-6,37.41667,Fell,0
Karewar,1949,180,7.15,12.9,Fell,0
Hotse,1956,180,115.5,35.66667,Fell,0
Orlando,2004,180,-81.36222,28.5475,Fell,0
A-881566,1988,179.96,26,-72,Found,0
PCA 91212,1991,179.9,-68.70831,-85.67801,Found,0
Y-74082,1974,179.8,36.18056,-71.80472,Found,0
Y-791198,1979,179.77,35.66667,-71.5,Found,0
JaH 612,2009,179.7,55.34313,19.0097,Found,0
A-881324,1988,179.65,26,-72,Found,0
TIL 82411,1982,179.5,-94.61611,-85.16556,Found,0
EET 96044,1996,179.5,157.16667,-76.18333,Found,0
Y-793224,1979,179.35,35.66667,-71.5,Found,0
QUE 90285,1990,179.1,162.7736,-84.58308,Found,0
QUE 97054,1997,179.1,168,-84,Found,0
GRV 021805,2003,179.05,75.33083,-72.77472,Found,0
Oberon Bay,1962,179,146.35,-39.06667,Found,0
ALHA78053,1978,179,159.66667,-76.71667,Found,0
Ilafegh 006,1989,179,1.33333,21.6,Found,0
Loongana 001,1990,179,127.16667,-30.6,Found,0
PCA 91068,1991,179,-68.45281,-85.56735,Found,0
DaG 747,1999,179,16.11017,27.13433,Found,0
NWA 6758,2002,179,-12.91667,25.83333,Found,0
Caleta el Cobre 006,2010,179,-70.51667,-24.25,Found,0
RaS 346,2010,178.93,55.53625,20.49482,Found,0
A-881862,1988,178.87,26,-72,Found,0
QUE 90235,1990,178.8,162.23965,-84.59343,Found,0
A-881504,1988,178.58,26,-72,Found,0
QUE 90259,1990,178.5,162.13404,-84.60981,Found,0
A-881890,1988,178.46,26,-72,Found,0
ALH 82125,1982,178.4,156.90998,-76.98262,Found,0
Dho 244,2001,178.3,54.73283,18.6305,Found,0
Acfer 117,1990,178,4.2,27.73333,Found,0
DaG 266,1997,178,16.374,27.10633,Found,0
Dho 928,2002,178,54.75,19.11333,Found,0
JaH 757,,178,55.70944,19.72139,Found,0
Y-790997,1979,177.93,35.66667,-71.5,Found,0
Y-791091,1979,177.91,35.66667,-71.5,Found,0
EET 90483,1990,177.9,156.43588,-76.2741,Found,0
GRA 98056,1998,177.9,-141.5,-86.71667,Found,0
Y-790785,1979,177.83,35.66667,-71.5,Found,0
ALHA80107,1980,177.8,159.28722,-76.77111,Found,0
RC 017,1981,177.8,-103.2,34.21667,Found,0
EET 83379,1983,177.4,157.19389,-76.27361,Found,0
PAT 91512,1991,177.4,-67.57757,-84.96241,Found,0
MAC 88100,1988,177.3,160.5,-84.21667,Found,0
A-881868,1988,177.22,26,-72,Found,0
Y-86271,1986,177.15,35.66667,-71.5,Found,0
LEW 85334,1985,177,161.38759,-84.26932,Found,0
Ben Kesbes 001,1991,177,5.30083,30.36194,Found,0
Acfer 260,1991,177,3.71028,27.47556,Found,0
Acfer 280,1991,177,3.91278,27.53528,Found,0
Aguemour 016,1993,177,4.31694,27.59167,Found,0
HaH 050,1994,177,12.95933,28.79883,Found,0
HaH 133,1995,177,13.095,28.48833,Found,0
DaG 299,1997,177,16.11133,26.77167,Found,0
QUE 97342,1997,177,168,-84,Found,0
DaG 982,2000,177,16.432,27.2115,Found,0
Acfer 387,2004,177,4.015,27.558,Found,0
Noventa Vicentina,1971,177,11.52722,45.29167,Fell,0
PCA 91074,1991,176.9,-68.7,-85.63333,Found,0
A-880995,1988,176.84,26,-72,Found,0
MET 00582,2000,176.83,155.75,-79.68333,Found,0
RKP 86701,1986,176.8,158.64418,-76.24103,Found,0
DaG 1017,1999,176.78,15.94838,27.4387,Found,0
Shiï¿½ï¿½r 030,1998,176.28,53.77487,18.1536,Found,0
A-881083,1988,176.27,26,-72,Found,0
Dho 170,2000,176.2,54.56722,19.05389,Found,0
SaU 549,2011,176.2,56.83407,20.50483,Found,0
A-87278,1987,176,26,-72,Found,0
DaG 042,1995,176,16.358,27.13367,Found,0
DaG 040,1995,176,16.4365,27.1115,Found,0
DaG 716,1999,176,16.15,27.05,Found,0
Dho 610,2001,176,54.19965,18.74047,Found,0
HaH 316,2001,176,11.62433,29.33967,Found,0
SaU 127,2002,176,57.29167,21.08833,Found,0
Dho 1594,2004,176,54.43417,18.9895,Found,0
Dho 1536,2006,176,54.92133,19.2195,Found,0
LAP 03630,2003,175.67,-70,-86.36667,Found,0
MAC 88131,1988,175.6,160.5,-84.21667,Found,0
JaH 200,2002,175.47,56.4879,19.97857,Found,0
EET 87790,1987,175.4,157.16667,-76.18333,Found,0
EET 90149,1990,175.4,156.49568,-76.26985,Found,0
JaH 714,2011,175.3,56.73135,19.75308,Found,0
MET 00482,2000,175.28,155.75,-79.68333,Found,0
SaU 257,2003,175.12,57.32175,20.60505,Found,0
LEW 87230,1987,175.1,161.32918,-84.35632,Found,0
JaH 260,2005,175.02,56.40063,19.9905,Found,0
HaH 100,1995,175,13.32717,28.65717,Found,0
DaG 270,1997,175,16.12883,27.18383,Found,0
