place,year,mass_g,longitude,latitude,fell_found,Include
Boxhole,1937,500000,135.2,-22.61667,Found,0
El Timbu,1942,500000,-60.96667,-33.11667,Found,0
Wildara,1968,500000,120.85,-28.23333,Found,0
Knyahinya,1866,500000,22.4,48.9,Fell,0
Ochansk,1887,500000,55.26667,57.78333,Fell,0
Jepara,2008,499500,110.73333,-6.6,Found,0
Saint-Aubin,1968,472000,3.58333,48.48333,Found,0
Carbo,1923,454000,-111.5,29.66667,Found,0
Etter,1965,450000,-101.9,35.98333,Found,0
SaU 001,2000,450000,56.66667,20.51667,Found,0
Wallapai,1927,430000,-113.7,35.8,Found,0
Ulasitai,2004,430000,91.4025,44.95667,Found,0
Paragould,1930,408000,-90.5,36.06667,Fell,0
ALHA76009,1976,407000,159.66667,-76.71667,Found,0
Augustinovka,1890,400000,35.08333,48.06667,Found,0
Pei Xian,1917,400000,117,34.7,Found,0
Mount Joy,1887,384000,-77.21667,39.78333,Found,0
Mont Dieu,1994,360000,4.86667,49.55,Found,0
Hugoton,1927,350000,-101.35,37.2,Found,0
Longtian,1991,350000,108.5,27.35,Found,0
Kokstad,1884,341000,29.41667,-30.55,Found,0
BjurbÌ¦le,1899,330000,25.8,60.4,Fell,0
Millbillillie,1960,330000,120.36667,-26.45,Fell,0
Mount Edith,1913,326000,116.16667,-22.5,Found,0
Sterlitamak,1990,325000,55.98333,53.66667,Fell,0
Seymchan,1967,323300,152.43333,62.9,Found,0
Tamarugal,1903,320000,-69.66667,-20.8,Found,0
Estherville,1879,320000,-94.83333,43.41667,Fell,0
Guffey,1907,309000,-105.51667,38.76667,Found,0
Nova Petropolis,1967,305000,-50.91667,-29.43333,Found,0
Gressk,1955,303000,27.33333,53.23333,Found,0
Bruderheim,1960,303000,-112.88333,53.9,Fell,0
North Chile,1875,300000,-69,-23,Found,0
Tianlin,1956,300000,106.1,24.3,Found,0
Mocs,1882,300000,24.03333,46.8,Fell,0
Putinga,1937,300000,-53.05,-29.03333,Fell,0
Morland,1890,295000,-100.06667,39.33333,Found,0
Estacado,1883,290000,-101.75,33.9,Found,0
Morasko,1914,290000,16.9,52.46667,Found,0
Bur-Abor,1997,290000,41.65,3.98333,Found,0
Clovis (no. 1),1961,283000,-103.13472,34.3,Found,0
Rio Limay,1995,280000,-69.48333,-39.85,Found,0
Sanclerlandia,1971,279000,-50.3,-16.21667,Found,0
South Dahna,1957,275000,48.3,22.56667,Found,0
Mount Padbury,1964,272000,118.1,-25.66667,Found,0
Saint-SÌ©verin,1966,271000,0.23333,45.3,Fell,0
Lake Murray,1933,270000,-97,34.1,Found,0
Miles,1992,265000,150.33333,-27.83333,Found,0
Potter,1941,261000,-103.3,41.23333,Found,0
Tishomingo,1965,260000,-96.68333,34.25,Found,0
Suizhou,1986,260000,113.46667,31.61667,Fell,0
Dalgety Downs,1941,257000,116.18333,-25.33333,Found,0
Dho 020,2000,256000,54.51667,19.03333,Found,0
Boguslavka,1916,256000,131.63333,44.55,Fell,0
Uegit,1921,252000,43.33333,3.81667,Found,0
Netschaï¿½ï¿½vo,1846,250000,35.15,54.23333,Found,0
Pultusk,1868,250000,21.26667,52.76667,Fell,0
Omolon,1981,250000,161.80833,64.02,Fell,0
Shangdu,1957,247000,114,42.5,Found,0
St. Genevieve County,1888,244500,-90.31667,37.96667,Found,0
El Hammami,1997,240000,-10.81667,23.28333,Found,0
Sacramento Mountains,1890,237200,-104.66667,32.91667,Found,0
Muonionalusta,1906,230000,23.1,67.8,Found,0
New Concord,1860,230000,-81.76667,40,Fell,0
Homestead,1875,230000,-91.86667,41.8,Fell,0
Alfianello,1883,228000,10.15,45.26667,Fell,0
Bear Creek,1866,227000,-105.3,39.6,Found,0
Guixi,,220000,117.18333,28.28333,Found,0
Holbrook,1912,220000,-110.18333,34.9,Fell,0
AcuÌ±a,1981,217700,-100.96667,29.31667,Found,0
Ssyromolotovo,1873,217000,98.93333,58.61667,Found,0
Chinga,1913,209400,94.4,51.05833,Found,0
Barratta,1845,200000,144.56667,-35.3,Found,0
Patos de Minas (octahedrite),1925,200000,-46.53333,-18.58333,Found,0
Dimmitt,1942,200000,-102.16667,34.58333,Found,0
Liangcheng,1959,200000,112.5,40.5,Found,0
JaH 055,2004,200000,55.69,19.65167,Found,0
Porto Alegre,2005,200000,-51.23,-30.03306,Found,0
Moshesh,,200000,28.71667,-30.1,Found,0
Lowell,1846,200000,-71.35,42.68333,Fell,0
Saratov,1918,200000,46.55,52.55,Fell,0
Kainsaz,1937,200000,53.25,55.43333,Fell,0
Kunashak,1949,200000,61.36667,55.78333,Fell,0
